"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Corynebacterium",4.9433902088981,0,10.4849279161206,4.69483568075117,21.2464589235128,0,0,7.29927007299271,0,11.2460638776428,0,9.63488843813388,5.55941626129257,6.33579725448786,0,58.9135424636573
"Caloramator",2.07303460373146,0.711490572749911,0,4.49071239028373,0,0,0,0,0,2.69905533063428,0,0,0,2.11193241816262,0,0
"Rothia",0,0,0,1.83710961420698,0,0,0,0,0,0,0,13.184584178499,0,0,15.2284263959391,14.5371078806427
"[Ruminococcus]",0,0,0,8.57317819963258,12.7478753541077,0,0,16.058394160584,0,0,0,5.0709939148073,10.4239054899236,0,0,10.7115531752104
"Mesorhizobium",14.0328496252591,11.917467093561,0,10.8185343947744,0,0,0,0,0,7.64732343679712,0,0,0,10.9116508271735,0,9.1813312930375
"Porphyromonas",0,0,0,1.22473974280465,0,0,0,0,0,0.899685110211426,0,4.05679513184584,0,0,0,0
"Bacteroides",2.2324988040185,3.91319815012451,9.17431192660552,85.7317819963258,26.9121813031162,11.4503816793893,12.1028744326778,24.8175182481752,0,2.24921277552857,12.3203285420945,21.2981744421907,8.33912439193885,1.40795494544175,0,9.1813312930375
"Rhizobium",4.9433902088981,6.93703308431163,0,10.0020412329047,0,0,0,0,0,5.84795321637427,0,0,0,4.22386483632524,0,9.94644223412396
"Pantoea",5.74071121033328,0,0,30.2102469891815,0,0,0,0,0,0,0,0,0,0,0,0
"Symbiobacterium",1.59464200287036,0.889363215937389,0,8.36905490916514,4.24929178470256,0,0,0,0,4.04858299595142,0,0,2.77970813064628,1.05596620908131,0,0
"Variovorax",16.1058842289906,18.3208822483102,0,14.4927536231884,0,0,0,0,0,23.3918128654971,0,10.1419878296146,0,13.3755719816966,0,0
"Dehalobacterium",0,0,0,1.22473974280465,0,0,0,10.2189781021898,0,0,0,0,0,0,0,14.5371078806427
"Nocardioides",7.1758890129166,12.8068303094984,0,1.22473974280465,0,0,0,0,0,6.29779577147998,0,0,0,14.0795494544175,0,0
"Terracoccus",1.75410620315739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Geobacter",2.71089140487961,0,0,19.1875893039396,11.3314447592068,5.08905852417304,0,11.6788321167883,0,0,0,0,3.47463516330786,0,0,0
"Lactobacillus",8455.27029181949,5280.14941302028,25243.7745740498,2734.43559910186,81144.47592068,64057.251908397,103995.461422088,72178.1021897811,42062.5869262866,23728.2950967162,37453.7987679672,7231.23732251522,45899.9305072968,11465.3291094685,17233.5025380711,22741.3925019128
"Adlercreutzia",0,0,0,1.83710961420698,0,0,0,0,0,0,0,0,0,0,0,12.2417750573833
