"Genus","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"Gardnerella",20,0,0,13,0,0,0,0,0,0,0,30,0,9,0,0
"Brachymonas",7,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Sphingobium",0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
"Phascolarctobacterium",3,5,0,17,8,9,0,0,0,0,0,25,0,0,0,0
"Butyricimonas",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4
"Oribacterium",0,0,0,0,6,0,0,0,0,0,0,17,0,0,0,0
"Hydrogenophaga",0,0,0,58,0,0,0,0,14,0,12,17,0,0,0,0
"Woodsholea",6,0,0,66,0,0,0,4,0,23,8,5,0,0,0,0
"Rhodoferax",15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Demequina",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"Actinomyces",23,0,0,0,27,12,24,15,0,0,0,349,0,12,0,0
"Microlunatus",31,41,0,16,0,0,0,0,0,0,0,0,0,0,0,0
"Wolinella",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"Planifilum",0,0,0,25,0,0,0,0,0,0,6,3,0,0,0,0
"Luteolibacter",0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0
"Neisseria",11,7,0,69,0,0,0,0,0,0,0,10,0,0,0,0
"Nitrospira",38,55,11,33,0,0,0,0,0,10,0,13,0,12,0,9
"Butyrivibrio",0,0,0,8,0,0,0,0,0,0,0,0,6,5,0,0
"Arenimonas",0,0,0,87,0,0,0,0,0,23,0,0,0,0,0,0
"Ktedonobacter",0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0
"Luteococcus",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
"Mycobacterium",140,227,6,33,0,0,0,0,0,19,0,27,16,64,11,0
