"Order","FC_112","FC_113","FC_122","FC_123","FC_133","FC_134","FC_142","FC_143","FC_161","FC_162","FC_172","FC_177","FC_181","FC_186","FC_195","FC_199"
"[Pedosphaerales]",231,175,14,95,0,0,0,0,0,62,0,22,4,74,0,11
"Erysipelotrichales",22,5,3,109,8,8,14,8,0,23,7,28,8,6,0,14
"0319-7L14",235,308,7,62,0,0,0,0,0,42,4,0,0,50,0,0
"Cytophagales",53,77,12,216,5,5,0,7,6,45,7,49,0,17,0,11
"Legionellales",210,65,0,91,0,5,0,0,0,103,0,52,0,119,0,4
"Cenarchaeales",0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0
"SC-I-84",358,524,25,131,9,12,0,0,0,70,0,18,22,102,0,50
"Rhodobacterales",49,24,15,238,11,23,0,19,0,45,8,37,0,28,0,3
"GCA004",0,0,0,11,6,0,0,0,0,0,0,2,0,0,0,0
"JG30-KF-AS9",7,4,0,11,0,0,0,0,0,0,0,0,0,3,0,0
"AKYG885",52,43,0,30,0,0,0,0,2,0,4,0,0,0,0,0
"Dehalococcoidales",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Chlamydiales",0,10,3,5,0,0,0,0,0,0,0,12,5,0,0,0
"MND1",23,0,9,176,3,12,0,4,0,21,7,39,0,5,0,33
"Chromatiales",0,9,0,144,0,0,6,0,14,40,15,17,5,0,0,0
"Kiloniellales",0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"Ellin5290",87,84,0,21,0,0,0,0,0,12,0,0,7,31,0,0
"Gemmatimonadales",239,240,0,150,0,0,6,10,0,13,0,12,0,15,0,14
"Enterobacteriales",2469,1367,1800,3385,1559,1970,1054,2028,879,7756,1465,5886,1335,2723,5428,23114
"Rhodocyclales",9,0,0,58,0,0,0,0,0,0,9,13,0,0,0,6
"DS-18",96,25,16,113,0,0,0,5,8,19,0,15,0,24,0,0
"Chthonomonadales",32,8,0,0,0,0,0,0,0,0,0,0,7,6,0,0
"MVS-40",4,0,0,3,0,0,0,4,0,0,0,5,0,0,0,0
"Verrucomicrobiales",25,16,5,267,0,6,0,16,3,0,0,19,0,4,0,4
"[Fimbriimonadales]",20,38,0,39,2,0,0,4,0,10,0,0,0,6,0,0
"TG3-1",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
"Opitutales",17,0,3,22,0,0,0,0,0,0,0,10,0,0,0,8
"[Rhodothermales]",5,4,0,50,0,2,0,3,3,10,2,5,0,0,0,0
"Micrococcales",198,231,0,42,0,0,0,0,0,0,0,0,0,78,0,0
"GIF10",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"Armatimonadales",17,8,0,0,0,0,0,0,0,0,0,3,0,0,0,0
"Ellin6067",38,49,13,24,0,0,0,0,0,5,0,11,19,35,0,36
