"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"54","FC.142A_concatenated","FC_142","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",34983723,33538488,78496,5346,3793,5303,5302,106040,7,0.143629284877859,13,0.191136763445766,"Mechanism",2.87033408466056
"55","FC.142A_concatenated","FC_142","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",34983723,33538488,78496,5346,3793,5303,5302,106040,7,0.143629284877859,13,0.191136763445766,"Group",4.0232638391747
"56","FC.142A_concatenated","FC_142","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",93,"Store3","Safeway",34983723,33538488,78496,5346,3793,5303,5302,106040,7,0.143629284877859,13,0.191136763445766,"Gene",13.1373929275344
"57","FC.143A1in2_concatenated","FC_143","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Class",3.89347989727692
"58","FC.143A1in2_concatenated","FC_143","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Mechanism",4.8776756650095
"59","FC.143A1in2_concatenated","FC_143","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Group",6.5437698263006
"60","FC.143A1in2_concatenated","FC_143","Fort Collins","RWA","Half","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",41210567,39588437,40161,318,257,448,448,11200,5,0.449872636670363,7,0.539213319988901,"Gene",14.6846563720963
"61","FC.143A_concatenated","FC_143","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",45442442,43529554,51204,392,356,627,627,11196.4285714286,6,0.577664571989938,8,0.664925205971147,"Class",4.63149908758701
"62","FC.143A_concatenated","FC_143","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",45442442,43529554,51204,392,356,627,627,11196.4285714286,6,0.577664571989938,8,0.664925205971147,"Mechanism",5.67502722078451
"63","FC.143A_concatenated","FC_143","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",45442442,43529554,51204,392,356,627,627,11196.4285714286,6,0.577664571989938,8,0.664925205971147,"Group",8.26035579585768
"64","FC.143A_concatenated","FC_143","Fort Collins","RWA","None","Vacuum","Vacuum(N=16)",85,"Store3","Safeway",45442442,43529554,51204,392,356,627,627,11196.4285714286,6,0.577664571989938,8,0.664925205971147,"Gene",17.7685339670855
"65","FC.161A1in2_concatenated","FC_161","Fort Collins","CONV","Half","Chub","Chub(N=8)",80,"Store1","KingSoopers",67058362,64579770,824877,77764,23388,34143,34142,588655.172413794,7,0.0329335397362847,9,0.723812194228699,"Class",1.31829528714946
"66","FC.161A1in2_concatenated","FC_161","Fort Collins","CONV","Half","Chub","Chub(N=8)",80,"Store1","KingSoopers",67058362,64579770,824877,77764,23388,34143,34142,588655.172413794,7,0.0329335397362847,9,0.723812194228699,"Mechanism",2.32274690741415
"67","FC.161A1in2_concatenated","FC_161","Fort Collins","CONV","Half","Chub","Chub(N=8)",80,"Store1","KingSoopers",67058362,64579770,824877,77764,23388,34143,34142,588655.172413794,7,0.0329335397362847,9,0.723812194228699,"Group",3.75115784414429
"68","FC.161A1in2_concatenated","FC_161","Fort Collins","CONV","Half","Chub","Chub(N=8)",80,"Store1","KingSoopers",67058362,64579770,824877,77764,23388,34143,34142,588655.172413794,7,0.0329335397362847,9,0.723812194228699,"Gene",18.1990458962603
"69","FC.161A_concatenated","FC_161","Fort Collins","CONV","None","Chub","Chub(N=8)",80,"Store1","KingSoopers",43515676,41896445,728548,296734,35273,51868,51868,700918.91891892,9,0.0410313099708002,15,0.711519483751716,"Class",1.39633565511945
"70","FC.161A_concatenated","FC_161","Fort Collins","CONV","None","Chub","Chub(N=8)",80,"Store1","KingSoopers",43515676,41896445,728548,296734,35273,51868,51868,700918.91891892,9,0.0410313099708002,15,0.711519483751716,"Mechanism",2.40339428986977
"71","FC.161A_concatenated","FC_161","Fort Collins","CONV","None","Chub","Chub(N=8)",80,"Store1","KingSoopers",43515676,41896445,728548,296734,35273,51868,51868,700918.91891892,9,0.0410313099708002,15,0.711519483751716,"Group",3.77800806391015
"72","FC.161A_concatenated","FC_161","Fort Collins","CONV","None","Chub","Chub(N=8)",80,"Store1","KingSoopers",43515676,41896445,728548,296734,35273,51868,51868,700918.91891892,9,0.0410313099708002,15,0.711519483751716,"Gene",18.7467421490908
"73","FC.162A1in2_concatenated","FC_162","Fort Collins","CONV","Half","Chub","Chub(N=8)",93,"Store1","KingSoopers",50459468,48697965,126973,946,810,1619,1618,29418.1818181819,9,0.527947482869668,16,0.786658365084393,"Class",4.42584979670317
"74","FC.162A1in2_concatenated","FC_162","Fort Collins","CONV","Half","Chub","Chub(N=8)",93,"Store1","KingSoopers",50459468,48697965,126973,946,810,1619,1618,29418.1818181819,9,0.527947482869668,16,0.786658365084393,"Mechanism",6.89931660748266
"75","FC.162A1in2_concatenated","FC_162","Fort Collins","CONV","Half","Chub","Chub(N=8)",93,"Store1","KingSoopers",50459468,48697965,126973,946,810,1619,1618,29418.1818181819,9,0.527947482869668,16,0.786658365084393,"Group",9.65635235023181
