"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"76","FC.162A1in2_concatenated","FC_162","Fort Collins","CONV","Half","Chub","Chub(N=8)",93,"Store1","KingSoopers",50459468,48697965,126973,946,810,1619,1618,29418.1818181819,9,0.527947482869668,16,0.786658365084393,"Gene",9.09304490385684
"77","FC.162A_concatenated","FC_162","Fort Collins","CONV","None","Chub","Chub(N=8)",93,"Store1","KingSoopers",54399943,52389506,165437,1919,1647,2792,2790,31704.5454545455,9,0.6314626402763,19,1.08492700256151,"Class",1.3859160406326
"78","FC.162A_concatenated","FC_162","Fort Collins","CONV","None","Chub","Chub(N=8)",93,"Store1","KingSoopers",54399943,52389506,165437,1919,1647,2792,2790,31704.5454545455,9,0.6314626402763,19,1.08492700256151,"Mechanism",1.87059512228883
"79","FC.162A_concatenated","FC_162","Fort Collins","CONV","None","Chub","Chub(N=8)",93,"Store1","KingSoopers",54399943,52389506,165437,1919,1647,2792,2790,31704.5454545455,9,0.6314626402763,19,1.08492700256151,"Group",3.59365449284141
"80","FC.162A_concatenated","FC_162","Fort Collins","CONV","None","Chub","Chub(N=8)",93,"Store1","KingSoopers",54399943,52389506,165437,1919,1647,2792,2790,31704.5454545455,9,0.6314626402763,19,1.08492700256151,"Gene",12.146334612864
"81","FC.172A1in2_concatenated","FC_172","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",39790090,38407079,1104944,22850,11170,20120,20117,264697.368421053,8,0.315449899368381,14,0.364235678616431,"Class",1.15676913566735
"82","FC.172A1in2_concatenated","FC_172","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",39790090,38407079,1104944,22850,11170,20120,20117,264697.368421053,8,0.315449899368381,14,0.364235678616431,"Mechanism",1.17046525585718
"83","FC.172A1in2_concatenated","FC_172","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",39790090,38407079,1104944,22850,11170,20120,20117,264697.368421053,8,0.315449899368381,14,0.364235678616431,"Group",2.15391449300866
"84","FC.172A1in2_concatenated","FC_172","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",39790090,38407079,1104944,22850,11170,20120,20117,264697.368421053,8,0.315449899368381,14,0.364235678616431,"Gene",7.49652419448758
"85","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Class",1.53040698389278
"86","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Mechanism",1.54775357555275
"87","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Group",2.57444470159174
"88","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Gene",7.93590366594637
"89","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Class",1.8670726113902
"90","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Mechanism",3.25177638054164
"91","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Group",28.8462869347147
"92","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Gene",65.8640403304235
"93","FC.177A_concatenated","FC_177","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",40915803,39211802,41483,9114,5417,10290,9843,30379.6296296296,11,0.97801303471405,22,1.52348579058652,"Class",1.93496572321176
"94","FC.177A_concatenated","FC_177","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",40915803,39211802,41483,9114,5417,10290,9843,30379.6296296296,11,0.97801303471405,22,1.52348579058652,"Mechanism",3.17490896906431
"95","FC.177A_concatenated","FC_177","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",40915803,39211802,41483,9114,5417,10290,9843,30379.6296296296,11,0.97801303471405,22,1.52348579058652,"Group",28.7476782349155
"96","FC.177A_concatenated","FC_177","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",40915803,39211802,41483,9114,5417,10290,9843,30379.6296296296,11,0.97801303471405,22,1.52348579058652,"Gene",74.0971744542211
"97","FC.181A1in2_concatenated","FC_181","Fort Collins","CONV","Half","StoreGrind","StoreGrind(N=2)",90,"Store1","KingSoopers",44527155,43105651,50912,4,4,135,135,3214.28571428572,8,1.55120703295688,11,1.85318071562781,"Class",3.49472674976031
