"ID","sample","City","Treatment","Dilution","Packaging","Packaging_samples","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","nonhost_filtered_reads","amrplusplus_counts","Samdedup_amrplusplus_counts","deduped_SNP_confirmed_counts","resistome_raw_mapped_reads","resistome_CSS_counts","AMR_class_Richness","AMR_class_Shannon","AMR_mech_Richness","AMR_mech_Shannon","Level","Value"
"83","FC.172A1in2_concatenated","FC_172","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",39790090,38407079,1104944,22850,11170,20120,20117,264697.368421053,8,0.315449899368381,14,0.364235678616431,"Group",1.94726989079563
"84","FC.172A1in2_concatenated","FC_172","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",39790090,38407079,1104944,22850,11170,20120,20117,264697.368421053,8,0.315449899368381,14,0.364235678616431,"Gene",5.46019247594051
"85","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Class",1.59006369426752
"86","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Mechanism",1.36474961731905
"87","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Group",2.76762749445676
"88","FC.172A_concatenated","FC_172","Fort Collins","CONV","None","TrayOverwrap","TrayOverwrap(N=6)",80,"Store3","Safeway",45710363,44090217,1410649,1025,930,2147,2146,69225.8064516132,7,0.655851164370814,13,0.722380774868843,"Gene",8.01155327342747
"89","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Class",1.90681332111213
"90","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Mechanism",3.47688022284123
"91","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Group",19.6876971608833
"92","FC.177A1in2_concatenated","FC_177","Fort Collins","CONV","Half","TrayOverwrap","TrayOverwrap(N=6)",93,"Store5","Walmart",54833376,52650008,45942,4894,3473,5686,5327,21566.8016194332,13,0.943432563348337,22,1.5038647861473,"Gene",40.2645161290323
