"ID","X.SampleID","City","Treatment","Dilution","Packaging","Lean","Blinded_Store","Store","Raw_paired_reads","QC_filtered_reads","taxa_reads","filtered_taxa_reads","microbiome_raw_mapped_reads","microbiome_CSS_counts","microbiome_domain_Richness","microbiome_domain_Shannon","microbiome_phylum_Richness","microbiome_phylum_Shannon","microbiome_class_Richness","microbiome_class_Shannon","microbiome_order_Richness","microbiome_order_Shannon","microbiome_family_Richness","microbiome_family_Shannon","microbiome_genus_Richness","microbiome_genus_Shannon","microbiome_species_Richness","microbiome_species_Shannon","Level","Value"
"42","FC_134","FC_134","Fort Collins","RWA",NA,"Vacuum",80,"Store1","King Soopers",219822,198879,19258,18978,157092,199862.595419848,1,0,10,0.290100303305172,24,0.367246940229604,43,0.510852863416499,59,1.20192293399254,53,1.38384291428708,23,1.15339087414588,"Species",22.2408308831347
"43","FC_142","FC_142","Fort Collins","RWA",NA,"Vacuum",93,"Store3","Safeway",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,22,0.316647848915853,33,0.38010028712187,49,1.20530697854822,46,1.21062317697834,23,1.49104960178708,"Domain",1
"44","FC_142","FC_142","Fort Collins","RWA",NA,"Vacuum",93,"Store3","Safeway",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,22,0.316647848915853,33,0.38010028712187,49,1.20530697854822,46,1.21062317697834,23,1.49104960178708,"Phylum",10.5834496588207
"45","FC_142","FC_142","Fort Collins","RWA",NA,"Vacuum",93,"Store3","Safeway",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,22,0.316647848915853,33,0.38010028712187,49,1.20530697854822,46,1.21062317697834,23,1.49104960178708,"Class",21.2052993916986
"46","FC_142","FC_142","Fort Collins","RWA",NA,"Vacuum",93,"Store3","Safeway",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,22,0.316647848915853,33,0.38010028712187,49,1.20530697854822,46,1.21062317697834,23,1.49104960178708,"Order",32.0043678419878
"47","FC_142","FC_142","Fort Collins","RWA",NA,"Vacuum",93,"Store3","Safeway",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,22,0.316647848915853,33,0.38010028712187,49,1.20530697854822,46,1.21062317697834,23,1.49104960178708,"Family",48.1734163890872
"48","FC_142","FC_142","Fort Collins","RWA",NA,"Vacuum",93,"Store3","Safeway",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,22,0.316647848915853,33,0.38010028712187,49,1.20530697854822,46,1.21062317697834,23,1.49104960178708,"Genus",44.9873007032252
"49","FC_142","FC_142","Fort Collins","RWA",NA,"Vacuum",93,"Store3","Safeway",187892,174760,33405,33298,152947,231387.291981846,1,0,11,0.25569137481824,22,0.316647848915853,33,0.38010028712187,49,1.20530697854822,46,1.21062317697834,23,1.49104960178708,"Species",22.9804041526509
"50","FC_143","FC_143","Fort Collins","RWA",NA,"Vacuum",85,"Store3","Safeway",155859,143060,13081,12877,116075,169452.554744526,3,0.0011789103872571,18,0.488695862288899,39,0.594717843143666,62,0.782104845729399,94,1.47105750287384,82,1.40646358064213,29,1.12314842004869,"Domain",2.93929641817735
"51","FC_143","FC_143","Fort Collins","RWA",NA,"Vacuum",85,"Store3","Safeway",155859,143060,13081,12877,116075,169452.554744526,3,0.0011789103872571,18,0.488695862288899,39,0.594717843143666,62,0.782104845729399,94,1.47105750287384,82,1.40646358064213,29,1.12314842004869,"Phylum",17.4430304101654
